Car_Brand,Car_Model,Year,Engine_Size,Horsepower,Torque,0-60MPH_insec,Price_USD
Ferrari,Portofino,2021,3.9,592,560,3.5,"$219,750.00 "
Porsche,Panamera Turbo S,2022,4,620,604,2.9,"$187,700.00 "
BMW,Z4 M40i,2022,3,382,369,3.9,"$63,700.00 "
Audi,RS 3,2022,2.5,401,369,3.6,"$56,200.00 "
BMW,M2 CS,2022,3,444,406,3.8,"$84,595.00 "
Dodge,Viper,2017,8.4,645,600,3.3,"$120,000.00 "
Rimac,C_Two,2022,N/A,1914,1696,1.9,"$2,400,000.00 "
Shelby,Cobra,1965,7,435,440,4.2,"$1,200,000.00 "
Tesla,Model S Plaid,2021,N/A,1020,1050,1.98,"$131,190.00 "
Toyota,GR Supra,2022,3,382,368,3.9,"$43,090.00 "
TVR,Griffith,2022,5,500,479,3.8,"$123,500.00 "
W Motors,Lykan Hypersport,2015,3.7,780,708,2.8,"$3,400,000.00 "
Audi,RS 6,2021,4,591,590,3.5,"$109,000.00 "
Porsche,Taycan,2021,Electric,750,774,2.6,"$185,000.00 "
Mercedes-Benz,AMG C 63,2021,4,469,479,3.9,"$69,900.00 "
Audi,RS 6 Avant,2021,4,591,590,3.5,"$109,000.00 "
Mercedes-AMG,C 63 S Coupe,2022,4,503,516,3.7,"$77,000.00 "
Audi,RS 7,2021,4,591,590,3.5,"$114,000.00 "
Lamborghini,Aventador S,2021,6.5,729,509,2.9,"$417,650.00 "
BMW,M2 Competition,2022,3,405,406,4,"$59,895.00 "
Mercedes-Benz,S63 AMG,2021,4,603,664,3.4,"$152,500.00 "
Porsche,Taycan Turbo S,2021,N/A,750,774,2.6,"$185,000.00 "
Ferrari,812 Superfast,2021,6.5,789,530,2.9,"$363,730.00 "
Audi,R8 Spyder,2022,5.2,562,406,3.5,"$183,300.00 "
Mercedes-Benz,AMG GT R,2021,4,577,516,3.5,"$183,000.00 "
Jaguar,F-Type R,2021,5,575,516,3.5,"$103,200.00 "
Alfa Romeo,4C,2020,1.7,237,258,4.1,"$67,150.00 "
Dodge,Charger SRT Hellcat,2022,6.2,717,650,3.6,"$71,490.00 "
Subaru,WRX STI,2021,2.5,310,290,4.6,"$38,170.00 "
Porsche,Panamera Turbo,2022,4,620,604,3.1,"$174,300.00 "
Audi,RS 5 Coupe,2021,2.9,444,443,3.7,"$75,100.00 "
Mercedes-Benz,SLS AMG Black Series,2014,6.2,622,468,3.5,"$275,000.00 "
Pagani,Huayra Roadster BC,2021,6,791,774,2.5,"$3,500,000.00 "
Pininfarina,Battista,2022,Electric,1874,1696,1.9,"$2,500,000.00 "
Kia,Stinger,2022,3.3,368,376,4.7,"$52,200.00 "
Tesla,Model S,2022,Electric,1020,1050,1.98,"$119,000.00 "
McLaren,765LT,2021,4,755,590,2.8,"$358,000.00 "
Dodge,Challenger Hellcat Redeye,2022,6.2,797,707,3.4,"$82,190.00 "
Lotus,Evora,2021,3.5,416,317,3.8,"$96,950.00 "
Dodge,Challenger Hellcat,2022,6.2,717,656,3.5,"$67,500.00 "
Lexus,LC,2021,5,471,398,4.4,"$92,950.00 "
Pagani,Huayra BC,2021,6,791,774,2.7,"$2,600,000.00 "
Alpine,A110,2021,1.8,288,236,4.4,"$71,500.00 "
Mercedes-AMG,C 63 S,2022,4,503,516,3.7,"$81,550.00 "
Audi,RS 5,2021,2.9,444,443,3.5,"$75,100.00 "
Dodge,Viper ACR,2017,8.4,645,600,3.3,"$126,190.00 "
Audi,RS7 Sportback,2022,4,591,590,3.5,"$115,045.00 "
BMW,M4 Competition,2021,3,503,479,3.9,"$75,695.00 "
Dodge,Charger Hellcat,2021,6.2,717,650,3.6,"$71,490.00 "
Koenigsegg,Jesko Absolut,2022,5,1600,1106,2.1,"$2,800,000.00 "
Lotus,Evija,2022,Electric,1973,1254,2.5,"$2,750,000.00 "
Mercedes-Benz,AMG GT Black Series,2021,4,720,590,3.2,"$326,050.00 "
McLaren,600LT Spider,2021,3.8,592,457,2.8,"$256,500.00 "
Chevrolet,Camaro SS 1LE,2021,6.2,455,455,4,"$44,500.00 "
McLaren,Speedtail,2021,4,1035,848,2.5,"$2,300,000.00 "
Lamborghini,Sián,2021,6.5,819,531,2.8,"$3,600,000.00 "
Mercedes-Benz,SLC 43,2020,3,385,384,4.6,"$62,000.00 "
Porsche,718 Boxster,2022,2,300,280,4.9,"$62,000.00 "
Ferrari,F8 Spider,2021,3.9,710,568,2.9,"$280,000.00 "
Alfa Romeo,4C Spider,2020,1.7,237,258,4.1,"$67,150.00 "
Audi,RS5 Coupe,2022,2.9,444,443,3.7,"$76,450.00 "
Mercedes-AMG,C63 S Coupe,2021,4,503,516,3.7,"$77,950.00 "
Audi,TT RS Coupe,2021,2.5,394,354,3.6,"$67,600.00 "
BMW,M4 Coupe,2021,3,473,406,3.8,"$71,800.00 "
Ultima,RS,2021,6.2,1200,1300,2.3,"$220,000.00 "
W Motors,Fenyr SuperSport,2022,3.8,800,723,2.7,"$1,550,000.00 "
Bugatti,Chiron Super Sport 300+,2022,8,1578,1180,2.3,"$5,200,000.00 "
Audi,RS 7 Sportback,2022,4,591,590,3.5,"$114,000.00 "
Mercedes-Benz,AMG C 63 S,2021,4,503,516,3.7,"$77,400.00 "
Chevrolet,Corvette Z06,2023,5.5,625,650,2.6,"$85,000.00 "
Mercedes-Benz,AMG GT 63 S,2021,4,630,664,3.1,"$162,900.00 "
Ferrari,Portofino M,2022,3.9,612,560,3.5,"$245,000.00 "
Mercedes-Benz,SL,2022,3,429,384,4.9,"$96,250.00 "
Chevrolet,Camaro,2021,6.2,455,455,4,"$25,000.00 "
Rolls-Royce,Dawn,2021,6.6,563,605,4.3,"$346,300.00 "
Bugatti,Chiron Pur Sport,2021,8,1500,1180,2.3,"$3,599,000.00 "
McLaren,Senna,2019,4,789,590,2.7,"$1,050,000.00 "
Mercedes-AMG,GT Black Series,2021,4,720,590,3.1,"$325,000.00 "
Nissan,400Z,2023,3,400,350,4,"$40,000.00 "
Audi,RS6,2022,4,591,590,3.5,"$113,000.00 "
Mercedes-Benz,GT 63,2021,4,577,590,3.3,"$161,200.00 "
Porsche,918 Spyder,2015,4.6,887,944,2.2,"$1,800,000.00 "
Bentley,Continental GT Speed,2022,6,650,664,3.5,"$300,000.00 "
Dodge,Challenger,2022,3.6,305,268,6.4,"$28,000.00 "
Porsche,911 Turbo S,2022,3.8,640,590,2.6,"$208,000.00 "
BMW,M5 Competition,2022,4.4,617,553,3.1,"$103,500.00 "
Audi,RS6 Avant,2021,4,591,590,3.5,"$109,000.00 "
BMW,Z4 Roadster,2022,2,255,295,5.2,"$50,000.00 "
Chevrolet,Camaro SS Convertible,2022,6.2,455,455,4,"$49,000.00 "
Nissan,370Z Coupe,2020,3.7,332,270,5,"$30,090.00 "
Mercedes-AMG,GT 63 S,2021,4,630,664,3.1,"$162,000.00 "
McLaren,570S Spider,2020,3.8,562,443,3.1,"$208,800.00 "
Mercedes-Benz,C 63 AMG,2022,4,469,479,3.9,"$69,000.00 "
Dodge,Challenger R/T,2021,5.7,372,400,5.1,"$35,000.00 "
Mercedes-Benz,C63 S AMG,2022,4,503,516,3.9,"$77,600.00 "
Mercedes-Benz,AMG C43 Coupe,2021,3,385,384,4.5,"$59,900.00 "
Mercedes-Benz,AMG A45,2021,2,382,354,4,"$50,000.00 "
Rolls-Royce,Ghost,2021,6.8,563,627,4.6,"$332,500.00 "
Dodge,Charger,2021,6.2,797,707,3.3,"$72,000.00 "
Porsche,Panamera GTS,2021,4,473,457,3.9,"$134,150.00 "
Mercedes-Benz,AMG GT 4-Door Coupe,2021,4,630,664,3.1,"$171,200.00 "
Mercedes-AMG,C63 S,2022,4,503,516,3.7,"$78,100.00 "
Maserati,MC20,2021,3,621,538,2.9,"$210,000.00 "
Ford,Mustang,2021,2.3,310,350,5.3,"$27,205.00 "
